# Wavelength [nm],zero_counts_500avgs_8ms
512.4460927392951,-100.61310975562164
512.8915982834857,-101.0237374778809
513.3370795404619,-102.82657295185577
513.7825364958733,-104.03299168537352
514.22796913537,-102.01314637984527
514.6733774446019,-99.85247633516302
515.118761409219,-100.83016023820177
515.564121014871,-100.37065856326515
516.009456247208,-102.5312993408175
516.45476709188,-101.37570725323373
516.9000535345367,-100.31199081897526
517.3453155608282,-100.53294864465606
517.7905531564043,-104.06232634411901
518.2357663069148,-102.90087430912999
518.68095499801,-102.26733405523468
519.1261192153396,-101.25252154772454
519.5712589445534,-103.82182432297286
520.0163741713013,-103.53439156627975
520.4614648812337,-102.99080135344039
520.9065310599999,-102.81482798588061
521.3515726932503,-102.21259267040095
521.7965897666345,-104.29890797168771
522.2415822658027,-102.87544944047438
522.6865501764045,-98.9784149947753
523.13149348409,-102.89499840979546
523.5764121745092,-103.37991082017105
524.0213062333119,-100.93380116459171
524.4661756461479,-103.27433229592518
524.9110203986673,-101.4930268292152
525.3558404765201,-102.96930079919134
525.8006358653558,-101.55755255791385
526.2454065508249,-102.29862546763162
526.690152518577,-104.29500478648585
527.1348737542621,-103.16678674357021
527.57957024353,-104.20504819745523
528.0242419720307,-101.96621336127126
528.4688889254141,-103.75533231777666
528.9135110893303,-101.59275170618544
529.358108449429,-101.84693727170672
529.8026809913599,-102.03857295941143
530.2472287007735,-104.30673035235925
530.6917515633194,-105.3743238070497
531.1362495646474,-102.3142640354349
531.5807226904077,-100.05974548641738
532.02517092625,-106.13689107438867
532.4695942578244,-99.05468766657718
532.9139926707805,-104.4357891465919
533.3583661507687,-100.93770868450063
533.8027146834385,-101.66509843018964
534.24703825444,-101.11759346983682
534.6913368494231,-100.60334091624381
535.1356104540378,-102.74835644130681
535.5798590539338,-103.83550499466436
536.0240826347614,-100.724566114407
536.46828118217,-103.60282006232576
536.9124546818099,-102.06203044173095
537.356603119331,-99.520075163399
537.8007264803831,-102.48437785014507
538.2448247506161,-103.81009239801098
538.68889791568,-103.62433424977651
539.1329459612247,-103.37991675967871
539.5769688729001,-105.0067349147113
540.0209666363562,-105.13382036301462
540.4649392372428,-103.31343797316158
540.9088866612099,-102.0503060065791
541.3528088939075,-102.5704087712655
541.7967059209853,-104.4885742480891
542.2405777280934,-102.09526663217166
542.6844243008816,-101.22514932291101
543.128245625,-104.14835898587638
543.5720416860984,-103.26064920966274
544.0158124698265,-101.7159325404269
544.4595579618347,-103.29779468916601
544.9032781477725,-104.0779643295028
545.3469730132899,-102.45700162104318
545.790642544037,-98.38594527773351
546.2342867256638,-102.50588595263878
546.67790554382,-100.8106034758697
547.1214989841552,-101.36397653946403
547.56506703232,-102.39247420527361
548.008609673964,-102.48437989339473
548.4521268947369,-103.18634204520501
548.8956186802891,-101.84498787703485
549.33908501627,-100.9337871707707
549.7825258883299,-100.56032157907471
550.2259412821187,-104.2285273399568
550.6693311832862,-103.44248789750158
551.1126955774822,-102.62516526003095
551.556034450357,-100.71674588112941
551.99934778756,-103.53439321308285
552.4426355747415,-101.82935659660119
552.8858977975514,-104.61763226625546
553.3291344416394,-104.3380147087194
553.7723454926557,-103.8394220743267
554.21553093625,-99.8270609756731
554.6586907580722,-102.66231881681897
555.1018249437726,-102.88326730991385
555.5449334790007,-101.88995881525969
555.9880163494065,-100.73630414404695
