# Wavelength [nm],one_counts_500avgs_8ms
911.020420246583,11960.469875462672
911.7541193394754,11491.291716850994
912.4877435961535,11039.677551332767
913.221293016617,10606.948663526631
913.954767600866,10179.619379884089
914.6881673489006,9772.577018928903
915.4214922607207,9363.270445540491
916.1547423363263,8957.477888093987
916.8879175757174,8571.195438827277
917.6210179788941,8199.499317302094
918.3540435458563,7848.9617159797435
919.086994276604,7515.452910638943
919.8198701711372,7191.348584857709
920.5526712294559,6881.672400612154
921.2853974515601,6579.057457911929
922.0180488374499,6283.14007564944
922.7506253871252,6006.842691060321
923.483127100586,5743.215441442971
924.2155539778323,5493.157875587393
924.9479060188642,5264.205186964107
925.6801832236815,5045.559787461592
926.4123855922844,4844.74831156715
927.1445131246728,4658.255972164626
927.8765658208467,4480.416472230992
928.6085436808062,4309.292503646399
929.3404467045511,4157.197289462661
930.0722748920816,4015.4106481440767
930.8040282433976,3883.670314029995
931.5357067584991,3769.2562910572838
932.2673104373862,3666.107213704771
932.9988392800587,3574.8944856715557
933.7302932865168,3487.3908016709656
934.4616724567604,3406.53911417134
935.1929767907895,3334.8084775188267
935.9242062886042,3273.5168420017812
936.6553609502043,3219.2314139073487
937.38644077559,3182.1430325311094
938.1174457647612,3158.9574300877
938.8483759177179,3148.071719331796
939.5792312344602,3155.267242887778
940.3100117149879,3171.643045175962
941.0407173593012,3206.545873592481
941.7713481674,3255.3895766203386
942.5019041392843,3317.7178792297923
943.2323852749541,3395.613573394921
943.9627915744095,3484.9541709213586
944.6931230376504,3591.223180498216
945.4233796646768,3712.375023720196
946.1535614554887,3842.953426552181
946.8836684100861,3985.052828899155
947.613700528469,4133.381924234522
948.3436578106375,4288.442362931108
949.0735402565915,4446.549986159262
949.803347866331,4616.870970219619
950.533080639856,4790.063180199598
951.2627385771666,4972.76789762232
951.9923216782627,5159.294586949513
952.7218299431443,5347.572408161837
953.4512633718114,5548.2137842561715
954.180621964264,5745.127016935266
954.9099057205021,5945.115108140675
955.6391146405258,6145.438827259647
956.368248724335,6343.731084342504
957.0973079719297,6540.766666595788
957.8262923833099,6738.916693161977
958.5552019584757,6935.952535158159
959.2840366974269,7135.501528812007
960.0127966001637,7331.762182217296
960.741481666686,7526.20171357192
961.4700918969938,7717.74482490996
962.1986272910872,7900.641343260125
962.927087848966,8077.190129751168
963.6554735706304,8247.39986827568
964.3837844560803,8405.812551386329
965.1120205053157,8559.479642611213
965.8401817183367,8702.533390826984
966.5682680951431,8835.894036618716
967.2962796357351,8975.976988527222
968.0242163401126,9103.773086525958
968.7520782082756,9217.188797769531
969.4798652402242,9326.203113892552
970.2075774359582,9421.737667772057
970.9352147954778,9508.269603617147
971.6627773187829,9575.801685658149
972.3902650058735,9642.959429619004
973.1176778567497,9700.670440959642
973.8450158714113,9756.376688828605
974.5722790498585,9797.18608898726
975.2994673920912,9835.29617912962
976.0265808981094,9857.085623932573
976.7536195679131,9864.801486390754
977.4805834015024,9874.130387507754
978.2074723988771,9871.048803758567
978.9342865600374,9856.523805992423
979.6610258849832,9829.33585154874
980.3876903737146,9790.653309228861
981.1142800262314,9738.847992424462
981.8407948425338,9682.537747862927
982.5672348226217,9621.319363455204
983.2935999664951,9575.127549840188
984.019890274154,9522.801701552791
984.7461057455985,9479.616472041536
985.4722463808284,9438.048033109815
986.1983121798439,9407.239183163578
986.9243031426449,9373.148126815231
987.6502192692315,9349.771026504168
988.3760605596035,9322.581484372264
989.1018270137611,9301.521642243108
989.8275186317042,9287.87753250363
990.5531354134328,9274.684771854272
991.2786773589469,9265.300673126347
992.0041444682465,9266.360069667246
992.7295367413317,9279.61092135777
993.4548541782024,9296.160326041021
994.1800967788586,9317.366609388957
994.9052645433003,9338.326439618764
995.6303574715275,9355.256742407139
996.3553755635403,9380.006225847977
997.0803188193386,9404.045213353325
997.8051872389224,9421.366543488602
998.5299808222917,9445.102486736241
999.2546995694465,9471.243927372618
999.9793434803869,9503.454240240035
1000.7039125551128,9547.361823471238
1001.4284067936242,9586.641924804773
1002.1528261959211,9622.386605018755
1002.8771707620035,9664.725560690185
1003.6014404918715,9701.72776490279
1004.325635385525,9736.667119260914
1005.0497554429639,9764.042569223011
1005.7738006641885,9792.86439642001
1006.4977710491985,9819.494920444562
1007.221666597994,9850.152130645834
1007.9454873105751,9886.085178058858
1008.6692331869417,9933.013789164046
1009.3929042270938,9981.899809391018
1010.1165004310315,10037.77088916479
1010.8400217987546,10085.020839570778
1011.5634683302633,10133.134763007498
1012.2868400255575,10176.046201047237
