# Wavelength [nm],zero_counts_50avgs_60.0ms
342.43548157594665,-56.16495337720062
342.8891397766605,-55.87162463078525
343.34277911449,-42.45240689558614
343.7963995750851,-58.17967542034792
344.25000114409573,-52.917998887140065
344.70358380717187,-57.63200757002772
345.15714754996327,-54.248095434425984
345.61069235812,-55.16744665047664
346.0642182172919,-53.95469817758815
346.51772511312896,-54.36543239128365
346.9712130312811,-52.58544886901661
347.4246819573981,-54.85445586040707
347.87813187713,-61.1723958056607
348.3315627761267,-56.36060406573931
348.7849746400382,-50.94224536763103
349.2383674545142,-51.80291797402681
349.6917412052049,-54.28716913434212
350.14509587776,-57.27998490331599
350.5984314578296,-53.58302597892826
351.05174793106335,-59.1968351232912
351.50504528311143,-50.335874982102396
351.9583234996237,-58.68828946775508
352.41158256625005,-54.75665062478863
352.86482246864034,-53.680842809927164
353.3180431924445,-51.920364271407955
353.77124472331263,-48.438396540931315
354.2244270468945,-50.90310656552435
354.67759014884,-47.87116798451025
355.1307340147991,-59.04036338539874
355.5838586304218,-49.10355852051367
356.03696398135787,-55.969395793099075
356.4900500532573,-60.526899720154496
356.94311683176994,-50.04250057614324
357.3961643025459,-55.53905688398153
357.849192451235,-59.13815947104007
358.302201263487,-54.73705873062298
358.75519072495206,-58.06233806977943
359.20816082128,-54.15028242850674
359.6611115381208,-53.73945614548157
360.1140428611242,-55.87161610974934
360.56695477594025,-52.976643523720185
361.0198472682189,-58.00372121934209
361.47272032361,-50.101169762137815
361.9255739277635,-53.27005435165149
362.3784080663293,-41.70909492441919
362.83122272495746,-51.3726160133426
363.28401788929773,-51.17701493420412
363.73679354499995,-54.32634856967027
364.1895496777143,-57.29950937961426
364.6422862730906,-52.78099034345623
365.0950033167787,-54.87402660505007
365.54770079442847,-49.88595571508443
366.00037869169,-57.358230839120004
366.45303699421316,-59.92053857120222
366.9056756876478,-57.96452169747197
367.3582947576438,-43.23495743767448
367.8108941898513,-55.79337235543459
368.26347396992,-42.17864243362382
368.7160340834999,-58.35571232124932
369.16857451624094,-52.01814572543361
369.62109525379304,-56.28230801964506
370.0735962818061,-56.18458618725861
370.52607758593,-52.957097691753326
370.9785391518147,-55.597805502479694
371.43098096511017,-58.55140449602338
371.88340301146627,-54.60015004711928
372.3358052765329,-45.6802070107084
372.78818774596,-53.15269406093808
373.2405504053975,-50.570609755820115
373.6928932404954,-57.905850501127816
374.1452162369035,-52.4289405200214
374.59751938027165,-53.34825719007247
375.04980265625005,-58.51221153999799
375.50206605048834,-55.81288832111278
375.95430954863656,-53.73949605166241
